ANNO;AteneoCOD;AteneoNOME;AteneoREGIONE;AteneoAREAGEO;CorsoTIPO;COD_FoET2013;DESC_FoET2013;Genere;DOTTORI
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;01;Education;F;68
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;01;Education;M;24
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;02;Arts and humanities;F;456
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;02;Arts and humanities;M;381
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;03;Social sciences, journalism and information;F;429
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;03;Social sciences, journalism and information;M;305
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;04;Business, administration and law;F;406
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;04;Business, administration and law;M;426
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;05;Natural sciences, mathematics and statistics;F;1312
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;05;Natural sciences, mathematics and statistics;M;1343
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;06;Information and Communication Technologies (ICTs);F;59
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;06;Information and Communication Technologies (ICTs);M;176
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;07;Engineering, manufacturing and construction;F;724
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;07;Engineering, manufacturing and construction;M;1487
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;08;Agriculture, forestry, fisheries and veterinary;F;223
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;08;Agriculture, forestry, fisheries and veterinary;M;227
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;09;Health and welfare;F;723
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;09;Health and welfare;M;455
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;10;Services;F;12
2023;TTTTT;TOTALE ATENEI;ITALIA;ITALIA;Dottorato di ricerca;10;Services;M;22
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Dottorato di ricerca;02;Arts and humanities;F;3
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Dottorato di ricerca;02;Arts and humanities;M;3
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Dottorato di ricerca;03;Social sciences, journalism and information;F;1
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Dottorato di ricerca;03;Social sciences, journalism and information;M;3
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Dottorato di ricerca;04;Business, administration and law;F;6
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Dottorato di ricerca;04;Business, administration and law;M;4
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Dottorato di ricerca;05;Natural sciences, mathematics and statistics;F;19
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Dottorato di ricerca;05;Natural sciences, mathematics and statistics;M;9
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Dottorato di ricerca;06;Information and Communication Technologies (ICTs);F;3
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Dottorato di ricerca;06;Information and Communication Technologies (ICTs);M;4
2023;09201;Cagliari - Universit  degli studi;Sardegna;ISOLE;Dottorato di ricerca;07;Engineering, manufacturing and construction;F;10
